target_finger,cycle,open_label,bend_label,used_last_seconds,intended_sensor,intended_local_response,Thumb_local_mean_dR_over_R0,Index_local_mean_dR_over_R0,Middle_local_mean_dR_over_R0,Ring_local_mean_dR_over_R0,Pinky_local_mean_dR_over_R0,ReverseHorizontal_local_mean_dR_over_R0,ReverseThumb_local_mean_dR_over_R0,Thumb_bend_std_dR_over_R0,Index_bend_std_dR_over_R0,Middle_bend_std_dR_over_R0,Ring_bend_std_dR_over_R0,Pinky_bend_std_dR_over_R0,ReverseHorizontal_bend_std_dR_over_R0,ReverseThumb_bend_std_dR_over_R0
Thumb,1,Thumb_C1_Open,Thumb_C1_Bend,1.0,Thumb,0.628684,0.628684,0.142420,0.035915,0.029407,0.002708,0.096763,0.082665,0.491114,0.098033,0.024276,0.021566,0.006317,0.052421,0.093625
Thumb,2,Thumb_C2_Open,Thumb_C2_Bend,1.0,Thumb,-3.078946,-3.078946,-0.048074,0.011574,-0.038122,0.008197,0.049142,-0.088638,1.103338,0.027655,0.010135,0.027094,0.008673,0.051541,0.137305
Thumb,3,Thumb_C3_Open,Thumb_C3_Bend,1.0,Thumb,-3.442051,-3.442051,0.008537,-0.013845,0.018735,-0.005818,-0.002775,-0.128142,1.496948,0.041790,0.009126,0.016705,0.007380,0.059195,0.123743
Thumb,4,Thumb_C4_Open,Thumb_C4_Bend,1.0,Thumb,-1.887343,-1.887343,-0.024639,-0.015931,0.008558,-0.004749,-0.015111,-0.075040,1.978871,0.043470,0.013592,0.011742,0.005212,0.048953,0.099439
Thumb,5,Thumb_C5_Open,Thumb_C5_Bend,1.0,Thumb,-2.039667,-2.039667,-0.007327,0.002873,0.000426,-0.005338,-0.012865,-0.038731,1.453937,0.027721,0.009413,0.014286,0.006752,0.027564,0.100080
Index,1,Index_C1_Open,Index_C1_Bend,1.0,Index,0.196742,-1.068680,0.196742,0.039413,0.007189,0.000263,-0.002597,-0.010426,0.087931,0.264471,0.040694,0.052862,0.009530,0.040852,0.030721
Index,2,Index_C2_Open,Index_C2_Bend,1.0,Index,-0.451825,-0.063430,-0.451825,-0.006974,-0.042569,-0.005208,-0.023616,-0.017155,0.058520,0.145202,0.020597,0.019104,0.006783,0.039122,0.011869
Index,3,Index_C3_Open,Index_C3_Bend,1.0,Index,-0.060331,-0.032921,-0.060331,-0.069853,0.027983,-0.002692,-0.053678,-0.004147,0.016150,0.151656,0.016473,0.038056,0.005959,0.016905,0.013519
Index,4,Index_C4_Open,Index_C4_Bend,1.0,Index,-0.170263,0.069875,-0.170263,0.007856,0.041808,-0.000749,-0.007178,-0.021296,0.065286,0.176704,0.028462,0.041695,0.006548,0.039641,0.011127
Index,5,Index_C5_Open,Index_C5_Bend,1.0,Index,-0.192110,-0.054815,-0.192110,0.026115,0.009027,0.016452,-0.066485,-0.002898,0.012930,0.211062,0.019355,0.032176,0.008296,0.046951,0.015776
Middle,1,Middle_C1_Open,Middle_C1_Bend,1.0,Middle,0.040042,0.029000,0.153141,0.040042,0.219787,0.029812,0.183378,0.006031,0.021825,0.136451,0.043884,0.131868,0.024073,0.159543,0.007937
Middle,2,Middle_C2_Open,Middle_C2_Bend,1.0,Middle,-0.083337,-0.014849,-0.014485,-0.083337,0.070974,0.000505,0.061642,-0.012067,0.011014,0.039286,0.023693,0.074782,0.008695,0.101304,0.004002
Middle,3,Middle_C3_Open,Middle_C3_Bend,1.0,Middle,0.036339,-0.021952,-0.082872,0.036339,0.153067,0.009350,-0.005623,0.015130,0.010753,0.028546,0.034895,0.138887,0.014320,0.051894,0.005579
Middle,4,Middle_C4_Open,Middle_C4_Bend,1.0,Middle,-0.056137,-0.000811,-0.002737,-0.056137,0.014918,-0.011982,0.027803,0.001861,0.013517,0.020461,0.036402,0.118279,0.008726,0.025189,0.007120
Middle,5,Middle_C5_Open,Middle_C5_Bend,1.0,Middle,-0.054342,0.005857,-0.053604,-0.054342,0.032078,0.002465,-0.010168,0.000429,0.029954,0.020609,0.030306,0.118515,0.012953,0.017381,0.006947
Ring,1,Ring_C1_Open,Ring_C1_Bend,1.0,Ring,0.438503,0.010910,0.022615,0.032699,0.438503,0.083758,0.346504,-0.002192,0.017887,0.022137,0.031320,0.247938,0.072651,0.261607,0.011556
Ring,2,Ring_C2_Open,Ring_C2_Bend,1.0,Ring,-0.081861,0.022199,0.055827,-0.017608,-0.081861,0.012785,0.110014,0.009027,0.021289,0.058104,0.022642,0.189780,0.025359,0.140755,0.012247
Ring,3,Ring_C3_Open,Ring_C3_Bend,1.0,Ring,-0.010571,0.015631,0.029955,-0.008922,-0.010571,0.031665,-0.058177,0.003907,0.024122,0.054795,0.037333,0.145138,0.037753,0.167863,0.013085
Ring,4,Ring_C4_Open,Ring_C4_Bend,1.0,Ring,-0.112610,-0.029376,-0.063609,0.008708,-0.112610,-0.013737,-0.120060,-0.009247,0.007224,0.022649,0.023715,0.169590,0.013338,0.104596,0.005714
Ring,5,Ring_C5_Open,Ring_C5_Bend,1.0,Ring,-0.151804,-0.029080,0.001466,0.000465,-0.151804,0.010301,-0.061807,-0.011184,0.008276,0.036207,0.022042,0.177717,0.019833,0.125626,0.005683
Pinky,1,Pinky_C1_Open,Pinky_C1_Bend,1.0,Pinky,0.517478,0.048331,0.027678,0.032638,0.092664,0.517478,0.228664,0.008153,0.018080,0.027214,0.027224,0.111598,0.457440,0.162831,0.005628
Pinky,2,Pinky_C2_Open,Pinky_C2_Bend,1.0,Pinky,0.134910,0.000992,-0.025416,-0.044173,-0.037464,0.134910,-0.126519,-0.006447,0.005456,0.007740,0.012327,0.076253,0.322900,0.041765,0.004728
Pinky,3,Pinky_C3_Open,Pinky_C3_Bend,1.0,Pinky,0.225726,0.015615,-0.000978,0.009327,0.003598,0.225726,0.016775,-0.000457,0.007244,0.007505,0.014573,0.077682,0.306322,0.083131,0.004150
Pinky,4,Pinky_C4_Open,Pinky_C4_Bend,1.0,Pinky,-0.032255,0.008514,-0.005954,-0.032300,-0.133885,-0.032255,-0.012065,-0.006865,0.006810,0.005942,0.011924,0.061154,0.194615,0.043675,0.004681
Pinky,5,Pinky_C5_Open,Pinky_C5_Bend,1.0,Pinky,0.007051,0.009989,0.001655,0.025170,-0.142219,0.007051,0.043646,-0.000560,0.005887,0.009313,0.010576,0.027601,0.172857,0.028455,0.005767
