target_finger,cycle,open_label,bend_label,used_last_seconds,intended_sensor,intended_local_response,Thumb_local_mean_dR_over_R0,Index_local_mean_dR_over_R0,Middle_local_mean_dR_over_R0,Ring_local_mean_dR_over_R0,Pinky_local_mean_dR_over_R0,ReverseHorizontal_local_mean_dR_over_R0,ReverseThumb_local_mean_dR_over_R0,Thumb_bend_std_dR_over_R0,Index_bend_std_dR_over_R0,Middle_bend_std_dR_over_R0,Ring_bend_std_dR_over_R0,Pinky_bend_std_dR_over_R0,ReverseHorizontal_bend_std_dR_over_R0,ReverseThumb_bend_std_dR_over_R0
Thumb,1,Thumb_C1_Open,Thumb_C1_Bend,1.0,Thumb,0.511165,0.511165,0.067712,0.034148,0.013906,-0.004136,0.122484,0.027665,0.911616,0.060995,0.040883,0.030626,0.006577,0.115399,0.032979
Thumb,2,Thumb_C2_Open,Thumb_C2_Bend,1.0,Thumb,0.280331,0.280331,-0.033727,0.010195,0.001606,0.007385,-0.059332,-0.443762,0.283452,0.026708,0.015088,0.016864,0.006986,0.048907,0.135883
Thumb,3,Thumb_C3_Open,Thumb_C3_Bend,1.0,Thumb,0.621508,0.621508,-0.037510,0.053624,-0.062057,-0.015168,-0.143706,-0.287305,2.297706,0.071847,0.013643,0.018727,0.006632,0.046434,0.116102
Thumb,4,Thumb_C4_Open,Thumb_C4_Bend,1.0,Thumb,-2.819726,-2.819726,-0.048169,0.048777,-0.038236,-0.011825,-0.022761,-0.367729,0.068879,0.019374,0.019982,0.015738,0.005891,0.038368,0.015662
Thumb,5,Thumb_C5_Open,Thumb_C5_Bend,1.0,Thumb,-2.172100,-2.172100,-0.001104,0.012631,-0.003186,-0.003339,0.002787,-0.275524,2.211593,0.091704,0.031878,0.020869,0.007654,0.094073,0.083383
Index,1,Index_C1_Open,Index_C1_Bend,1.0,Index,0.564173,-0.114357,0.564173,0.057048,0.006098,-0.013500,0.006669,-0.023181,0.058139,0.524192,0.067167,0.019347,0.007109,0.048844,0.012274
Index,2,Index_C2_Open,Index_C2_Bend,1.0,Index,-0.741414,-0.033913,-0.741414,-0.036768,0.062384,0.005964,-0.072583,-0.008208,0.100304,0.607914,0.047272,0.077540,0.008477,0.033234,0.022717
Index,3,Index_C3_Open,Index_C3_Bend,1.0,Index,0.562165,-0.036184,0.562165,-0.060005,0.043923,0.002935,-0.004603,0.009038,0.047503,0.586959,0.044902,0.048975,0.008868,0.059417,0.013822
Index,4,Index_C4_Open,Index_C4_Bend,1.0,Index,-0.375509,0.042692,-0.375509,-0.034424,0.137022,-0.008922,-0.029383,0.009981,0.099101,0.287703,0.024094,0.157163,0.004960,0.057817,0.016460
Index,5,Index_C5_Open,Index_C5_Bend,1.0,Index,-0.343731,0.012454,-0.343731,-0.034422,-0.077213,-0.003228,-0.056518,-0.011458,0.017491,0.028460,0.014034,0.011824,0.006716,0.025314,0.004013
Middle,1,Middle_C1_Open,Middle_C1_Bend,1.0,Middle,0.088513,-0.076696,-0.075855,0.088513,0.193733,0.058459,0.194286,0.002981,0.023143,0.042585,0.041473,0.048240,0.008469,0.056837,0.005393
Middle,2,Middle_C2_Open,Middle_C2_Bend,1.0,Middle,-0.092184,-0.012900,-0.026697,-0.092184,-0.015585,0.024650,-0.017863,-0.000185,0.013876,0.033740,0.079061,0.146959,0.016851,0.068973,0.011647
Middle,3,Middle_C3_Open,Middle_C3_Bend,1.0,Middle,-0.038012,-0.014649,0.051233,-0.038012,-0.021150,-0.012483,-0.043527,-0.014110,0.008358,0.026093,0.030287,0.048109,0.009174,0.046820,0.004674
Middle,4,Middle_C4_Open,Middle_C4_Bend,1.0,Middle,-0.012282,0.001315,0.016325,-0.012282,0.005147,0.001358,0.089861,0.000187,0.006706,0.025619,0.111345,0.074671,0.023417,0.057497,0.010057
Middle,5,Middle_C5_Open,Middle_C5_Bend,1.0,Middle,-0.020445,0.022724,-0.020183,-0.020445,-0.072178,-0.012360,0.044252,0.020214,0.024662,0.046061,0.059885,0.109135,0.008156,0.032527,0.017898
Ring,1,Ring_C1_Open,Ring_C1_Bend,1.0,Ring,0.388726,0.044664,-0.056029,0.040787,0.388726,0.115866,0.440790,0.010460,0.037378,0.013607,0.027453,0.205417,0.059280,0.163491,0.009292
Ring,2,Ring_C2_Open,Ring_C2_Bend,1.0,Ring,0.014363,-0.005705,-0.024177,-0.104915,0.014363,-0.043421,-0.001025,-0.005506,0.015984,0.017578,0.051833,0.258458,0.018030,0.091464,0.007316
Ring,3,Ring_C3_Open,Ring_C3_Bend,1.0,Ring,-0.170322,0.011101,0.038656,-0.036828,-0.170322,-0.015113,-0.055790,0.002693,0.011176,0.038047,0.039337,0.205811,0.017986,0.092510,0.005999
Ring,4,Ring_C4_Open,Ring_C4_Bend,1.0,Ring,-0.119315,0.000939,0.035524,-0.019299,-0.119315,-0.006022,-0.051119,-0.007621,0.012090,0.035809,0.042504,0.166670,0.017063,0.108098,0.005725
