target_finger,cycle,open_label,bend_label,used_last_seconds,intended_sensor,intended_local_response,Thumb_local_mean_dR_over_R0,Index_local_mean_dR_over_R0,Middle_local_mean_dR_over_R0,Ring_local_mean_dR_over_R0,Pinky_local_mean_dR_over_R0,ReverseHorizontal_local_mean_dR_over_R0,ReverseThumb_local_mean_dR_over_R0,Thumb_bend_std_dR_over_R0,Index_bend_std_dR_over_R0,Middle_bend_std_dR_over_R0,Ring_bend_std_dR_over_R0,Pinky_bend_std_dR_over_R0,ReverseHorizontal_bend_std_dR_over_R0,ReverseThumb_bend_std_dR_over_R0
Thumb,1,Thumb_C1_Open,Thumb_C1_Bend,1.0,Thumb,0.767337,0.767337,0.080812,0.016213,0.017996,0.005129,0.105545,0.065384,1.155630,0.069843,0.030128,0.013629,0.005574,0.105075,0.131035
Thumb,2,Thumb_C2_Open,Thumb_C2_Bend,1.0,Thumb,0.191376,0.191376,0.051662,0.079145,-0.010098,0.005545,-0.065686,-0.316375,0.439540,0.047228,0.030438,0.025601,0.003817,0.055968,0.217117
Thumb,3,Thumb_C3_Open,Thumb_C3_Bend,1.0,Thumb,0.216441,0.216441,-0.010073,0.003339,-0.036390,0.010121,-0.080673,-0.359670,1.374050,0.051672,0.018307,0.011217,0.005723,0.084413,0.232454
Thumb,4,Thumb_C4_Open,Thumb_C4_Bend,1.0,Thumb,-1.172232,-1.172232,-0.028454,0.000932,-0.018183,-0.005024,-0.065084,-0.339716,1.309339,0.039970,0.027558,0.007356,0.003995,0.070867,0.136568
Thumb,5,Thumb_C5_Open,Thumb_C5_Bend,1.0,Thumb,-1.965806,-1.965806,-0.000369,-0.020371,-0.005474,0.004649,-0.090196,-0.275865,0.942159,0.020264,0.010451,0.010507,0.004511,0.041308,0.122057
Index,1,Index_C1_Open,Index_C1_Bend,1.0,Index,0.676850,-0.035486,0.676850,0.063298,0.024464,0.007289,0.095774,0.001560,0.056808,0.470318,0.043738,0.052984,0.003841,0.083876,0.025031
Index,2,Index_C2_Open,Index_C2_Bend,1.0,Index,-0.311654,-0.121345,-0.311654,0.021065,0.021543,-0.003923,-0.026329,-0.028690,0.037018,0.355899,0.019588,0.062001,0.004192,0.017037,0.013053
Index,3,Index_C3_Open,Index_C3_Bend,1.0,Index,0.211203,0.005718,0.211203,-0.031245,-0.021587,0.002283,-0.015554,0.016124,0.019791,0.458645,0.013628,0.025855,0.003678,0.052122,0.015379
Index,4,Index_C4_Open,Index_C4_Bend,1.0,Index,-0.018061,-0.127988,-0.018061,-0.020496,-0.004960,-0.004338,-0.064161,-0.001540,0.023772,0.210403,0.021314,0.047476,0.003324,0.025021,0.012401
Index,5,Index_C5_Open,Index_C5_Bend,1.0,Index,0.389031,-0.041137,0.389031,-0.068101,-0.035122,-0.000433,-0.059568,-0.004983,0.042193,0.503519,0.018801,0.008364,0.004375,0.026446,0.010808
Middle,1,Middle_C1_Open,Middle_C1_Bend,1.0,Middle,0.084950,0.006011,0.106539,0.084950,0.175199,0.027117,0.107175,0.002165,0.018823,0.083425,0.060822,0.119884,0.022368,0.089930,0.007246
Middle,2,Middle_C2_Open,Middle_C2_Bend,1.0,Middle,-0.046063,-0.017808,0.006648,-0.046063,0.017225,0.000570,-0.026594,-0.005160,0.009480,0.118106,0.042892,0.068625,0.009025,0.029236,0.007472
Middle,3,Middle_C3_Open,Middle_C3_Bend,1.0,Middle,-0.065982,-0.021424,-0.164681,-0.065982,0.041412,-0.000913,0.009180,-0.005525,0.008722,0.014360,0.042665,0.082774,0.011936,0.044938,0.009467
Middle,4,Middle_C4_Open,Middle_C4_Bend,1.0,Middle,-0.066994,-0.000034,0.004609,-0.066994,-0.091452,-0.020312,-0.024824,-0.018509,0.022336,0.053330,0.053300,0.069167,0.008054,0.020379,0.007535
Middle,5,Middle_C5_Open,Middle_C5_Bend,1.0,Middle,-0.023199,-0.018820,-0.046766,-0.023199,0.047168,0.002510,-0.001275,-0.009208,0.011839,0.028418,0.048496,0.063675,0.008263,0.042748,0.006588
Ring,1,Ring_C1_Open,Ring_C1_Bend,1.0,Ring,0.303948,0.027272,-0.013795,0.050242,0.303948,0.133141,0.304003,0.015391,0.029499,0.035648,0.018610,0.122167,0.082694,0.133367,0.011925
Ring,2,Ring_C2_Open,Ring_C2_Bend,1.0,Ring,0.043635,0.010263,-0.004027,0.031241,0.043635,-0.015252,-0.075053,-0.022657,0.010065,0.024558,0.042249,0.150138,0.030866,0.066246,0.008807
Ring,3,Ring_C3_Open,Ring_C3_Bend,1.0,Ring,0.124946,-0.025881,-0.013359,0.036430,0.124946,-0.005730,-0.091010,-0.005903,0.017835,0.015973,0.021781,0.226710,0.018734,0.103696,0.006140
Ring,4,Ring_C4_Open,Ring_C4_Bend,1.0,Ring,-0.036024,0.006211,0.023356,0.043122,-0.036024,0.016214,-0.043252,-0.012527,0.022794,0.016997,0.042187,0.159673,0.029576,0.070680,0.005426
Ring,5,Ring_C5_Open,Ring_C5_Bend,1.0,Ring,0.057352,-0.021795,0.024267,0.028093,0.057352,-0.022813,-0.062525,-0.011990,0.011379,0.020925,0.029199,0.142733,0.013112,0.077154,0.005594
Pinky,1,Pinky_C1_Open,Pinky_C1_Bend,1.0,Pinky,0.301473,0.031963,0.015895,0.011456,0.074754,0.301473,0.139027,-0.000944,0.035643,0.027828,0.042425,0.185212,0.372005,0.163990,0.006349
Pinky,2,Pinky_C2_Open,Pinky_C2_Bend,1.0,Pinky,0.067137,0.004278,-0.011117,0.007819,-0.279134,0.067137,-0.037336,-0.007925,0.032166,0.006526,0.017739,0.133066,0.201475,0.058710,0.006113
Pinky,3,Pinky_C3_Open,Pinky_C3_Bend,1.0,Pinky,0.107569,0.011575,0.042838,0.057354,-0.190626,0.107569,0.049133,-0.008053,0.018850,0.016815,0.022762,0.110980,0.176364,0.098003,0.006174
Pinky,4,Pinky_C4_Open,Pinky_C4_Bend,1.0,Pinky,0.115857,0.050347,0.016785,0.045674,-0.133195,0.115857,0.006746,-0.003695,0.024397,0.012811,0.021885,0.107005,0.186578,0.104388,0.005138
Pinky,5,Pinky_C5_Open,Pinky_C5_Bend,1.0,Pinky,0.204168,-0.021022,0.000053,-0.029817,-0.114910,0.204168,-0.031778,-0.001003,0.009524,0.010952,0.025446,0.100082,0.229459,0.079624,0.007403
